persona_profile_column,sensitive_id,mean_control,mean_treatment,mean_diff,var_control,var_treatment,n_valid_control,n_valid_treatment,ci_lower,ci_upper,p_value,pi_le,allbus_variable,pi_allbus,bias_le
core,sens_1,2.66,3.23,0.5699999999999998,0.22666666666666666,0.21929292929292934,100,100,0.4383080445236084,0.7016919554763913,3.648075854623306e-15,0.5699999999999998,ma01b,0.672370963290091,-0.10237096329009121
core,sens_10,2.66,3.12,0.45999999999999996,0.22666666666666666,0.1268686868686869,100,100,0.34268864912188846,0.5773113508781115,6.60069069378032e-13,0.45999999999999996,fr03b,0.3317442512619181,0.12825574873808188
core,sens_11,2.66,2.95,0.29000000000000004,0.22666666666666666,0.20959595959595956,100,100,0.15974666452406985,0.42025333547593025,1.839769109317444e-05,0.29000000000000004,pi08,0.0969489592244083,0.19305104077559174
core,sens_12,2.66,3.08,0.41999999999999993,0.22666666666666666,0.07434343434343434,100,100,0.3116358398609709,0.528364160139029,1.8152755859152445e-12,0.41999999999999993,mm03,0.4464130119082196,-0.026413011908219652
core,sens_13,2.66,3.06,0.3999999999999999,0.22666666666666666,0.056969696969696955,100,100,0.2947435688668807,0.5052564311331191,5.420423768609625e-12,0.3999999999999999,mm04,0.433411214953271,-0.033411214953271096
core,sens_14,2.66,3.23,0.5699999999999998,0.22666666666666666,0.17888888888888893,100,100,0.4444048114153205,0.6955951885846792,2.765561877591444e-16,0.5699999999999998,mm05,0.4825462012320328,0.08745379876796705
core,sens_2,2.66,3.07,0.4099999999999997,0.22666666666666666,0.06575757575757576,100,100,0.30316175082341273,0.5168382491765866,3.1377585864502122e-12,0.4099999999999997,ma02,0.147450110864745,0.2625498891352547
core,sens_3,2.66,3.06,0.3999999999999999,0.22666666666666666,0.13777777777777778,100,100,0.28090725106081676,0.519092748939183,3.5792528901373946e-10,0.3999999999999999,ma03,0.1893392559689061,0.2106607440310938
core,sens_4,2.66,3.11,0.44999999999999973,0.22666666666666666,0.0988888888888889,100,100,0.3373749764306203,0.5626250235693792,3.4651601439095593e-13,0.44999999999999973,ma04,0.0727524204702628,0.3772475795297369
core,sens_5,2.66,2.92,0.2599999999999998,0.22666666666666666,0.13494949494949493,100,100,0.14136673039405623,0.37863326960594335,2.4984556161828265e-05,0.2599999999999998,mp02,0.3583541840422574,-0.0983541840422576
core,sens_6,2.66,3.1,0.43999999999999995,0.22666666666666666,0.35353535353535354,100,100,0.2897452939839721,0.5902547060160278,3.0933328618547817e-08,0.43999999999999995,ca13,0.1095813430738971,0.33041865692610284
core,sens_7,2.66,3.7,1.04,0.22666666666666666,0.23232323232323232,100,100,0.9063980707899728,1.1736019292100273,1.508502938526213e-35,1.04,ca08,0.9841004184100418,0.055899581589958225
core,sens_8,2.66,3.25,0.5899999999999999,0.22666666666666666,0.25,100,100,0.4538478354099152,0.7261521645900846,3.4538072104849247e-15,0.5899999999999999,fr10,0.1564853556485355,0.43351464435146436
core,sens_9,2.66,3.12,0.45999999999999996,0.22666666666666666,0.12686868686868688,100,100,0.34268864912188846,0.5773113508781115,6.600690693780257e-13,0.45999999999999996,fr04b,0.1813355685945795,0.27866443140542047
top-16,sens_1,2.91,3.757575757575758,0.8475757575757576,0.3251515151515151,0.4100185528756958,100,99,0.677993522213661,1.0171579929378542,7.7083302874916e-19,0.8475757575757576,ma01b,0.672370963290091,0.1752047942856666
